iter	Passed	Remaining
631	1876	1092
632	1878	1089
633	1880	1085
634	1882	1082
635	1886	1079
636	1888	1076
637	1891	1072
638	1893	1069
639	1895	1065
640	1897	1062
641	1900	1059
642	1902	1056
643	1905	1053
644	1907	1049
645	1909	1046
646	1911	1042
647	1913	1039
648	1916	1036
649	1918	1033
650	1920	1029
651	1922	1026
652	1925	1023
653	1927	1019
654	1930	1016
655	1933	1013
656	1935	1010
657	1937	1006
658	1939	1003
659	1942	1000
660	1945	997
661	1947	994
662	1950	991
663	1952	987
664	1954	984
665	1956	981
666	1960	978
667	1962	975
668	1964	971
669	1966	968
670	1968	965
671	1970	962
672	1973	958
673	1976	956
674	1978	952
675	1981	949
676	1983	946
677	1985	943
678	1988	940
679	1991	936
680	1993	933
681	1995	930
682	1997	927
683	1999	923
684	2002	920
685	2005	917
686	2007	914
687	2009	911
688	2011	907
689	2013	904
690	2015	901
691	2018	898
692	2021	895
693	2024	892
694	2026	889
695	2029	886
696	2031	883
697	2034	880
698	2037	877
699	2039	873
700	2041	870
701	2043	867
702	2045	864
703	2049	861
704	2051	858
705	2054	855
706	2056	852
707	2058	849
708	2061	846
709	2064	843
710	2066	840
711	2069	837
712	2071	833
713	2074	830
714	2076	827
715	2079	824
716	2081	821
717	2083	818
718	2085	815
719	2088	812
720	2090	808
721	2093	805
722	2095	802
723	2097	799
724	2100	796
725	2102	793
726	2104	790
727	2106	787
728	2111	784
729	2113	781
730	2115	778
731	2118	775
732	2120	772
733	2122	769
734	2126	766
735	2140	767
736	2142	764
737	2145	761
738	2147	758
739	2150	755
740	2154	752
741	2157	750
742	2159	747
743	2162	744
744	2164	740
745	2167	738
746	2170	735
747	2173	732
748	2176	729
749	2178	726
750	2181	723
751	2185	720
752	2188	717
753	2190	714
754	2193	711
755	2195	708
756	2200	706
757	2202	703
758	2205	700
759	2208	697
760	2210	694
761	2214	691
762	2216	688
763	2219	685
764	2221	682
765	2223	679
766	2226	676
767	2229	673
768	2232	670
769	2234	667
770	2236	664
771	2238	661
772	2241	658
773	2245	655
774	2247	652
775	2251	649
776	2264	649
777	2267	646
778	2270	644
779	2274	641
780	2277	638
781	2281	636
782	2283	632
783	2286	629
784	2289	627
785	2292	624
786	2295	621
787	2298	618
788	2301	615
789	2306	613
790	2308	610
791	2311	606
792	2313	603
